,Driver,Driver Points,Driver Standings,Driver Wins,Round,Season
381,nazaruk,6.0,8,0,7,1951
382,bonetto,5.0,9,0,7,1951
383,reg_parnell,5.0,10,0,7,1951
384,fagioli,4.0,11,1,7,1951
385,sanesi,3.0,12,0,7,1951
386,rosier,3.0,13,0,7,1951
387,linden,3.0,14,0,7,1951
388,mcgrath,2.0,15,0,7,1951
389,cabantous,2.0,16,0,7,1951
390,graffenried,2.0,17,0,7,1951
391,ball,2.0,18,0,7,1951
392,ayulo,2.0,19,0,7,1951
393,chiron,0.0,20,0,7,1951
394,fischer,0.0,21,0,7,1951
395,simon,0.0,22,0,7,1951
396,banks,0.0,23,0,7,1951
397,andre_pilette,0.0,24,0,7,1951
398,claes,0.0,25,0,7,1951
399,manzon,0.0,26,0,7,1951
400,forberg,0.0,27,0,7,1951
401,peter_walker,0.0,28,0,7,1951
402,levegh,0.0,29,0,7,1951
403,darter,0.0,30,0,7,1951
404,fangio,31.0,1,3,8,1951
405,ascari,25.0,2,2,8,1951
406,gonzalez,24.0,3,1,8,1951
407,farina,19.0,4,1,8,1951
408,villoresi,15.0,5,0,8,1951
409,taruffi,10.0,6,0,8,1951
410,wallard,9.0,7,1,8,1951
411,bonetto,7.0,8,0,8,1951
412,nazaruk,6.0,9,0,8,1951
413,reg_parnell,5.0,10,0,8,1951
414,fagioli,4.0,11,1,8,1951
415,sanesi,3.0,12,0,8,1951
416,rosier,3.0,13,0,8,1951
417,linden,3.0,14,0,8,1951
418,mcgrath,2.0,15,0,8,1951
419,graffenried,2.0,16,0,8,1951
420,cabantous,2.0,17,0,8,1951
421,ball,2.0,18,0,8,1951
422,ayulo,2.0,19,0,8,1951
423,chiron,0.0,20,0,8,1951
424,fischer,0.0,21,0,8,1951
425,simon,0.0,22,0,8,1951
426,banks,0.0,23,0,8,1951
427,andre_pilette,0.0,24,0,8,1951
428,manzon,0.0,25,0,8,1951
429,claes,0.0,26,0,8,1951
430,forberg,0.0,27,0,8,1951
431,peter_walker,0.0,28,0,8,1951
432,levegh,0.0,29,0,8,1951
433,etancelin,0.0,30,0,8,1951
434,taruffi,9.0,1,1,1,1952
435,fischer,6.0,2,0,1,1952
436,behra,4.0,3,0,1,1952
437,wharton,3.0,4,0,1,1952
438,alan_brown,2.0,5,0,1,1952
439,graffenried,0.0,6,0,1,1952
440,hirt,0.0,7,0,1,1952
441,brandon,0.0,8,0,1,1952
442,bira,0.0,9,0,1,1952
443,farina,0.0,10,0,1,1952
444,simon,0.0,11,0,1,1952
445,schell,0.0,12,0,1,1952
446,moss,0.0,13,0,1,1952
447,macklin,0.0,14,0,1,1952
448,manzon,0.0,15,0,1,1952
449,collins,0.0,16,0,1,1952
450,abecassis,0.0,17,0,1,1952
451,hans_stuck,0.0,18,0,1,1952
452,ulmen,0.0,19,0,1,1952
453,rosier,0.0,20,0,1,1952
454,terra,0.0,21,0,1,1952
455,taruffi,9.0,1,1,2,1952
456,ruttman,8.0,2,1,2,1952
457,fischer,6.0,3,0,2,1952
458,rathmann,6.0,4,0,2,1952
459,behra,4.0,5,0,2,1952
460,hanks,4.0,6,0,2,1952
461,darter,3.0,7,0,2,1952
462,wharton,3.0,8,0,2,1952
463,alan_brown,2.0,9,0,2,1952
464,cross,2.0,10,0,2,1952
465,vukovich,1.0,11,0,2,1952
466,bryan,0.0,12,0,2,1952
467,graffenried,0.0,13,0,2,1952
468,hirt,0.0,14,0,2,1952
469,reece,0.0,15,0,2,1952
470,brandon,0.0,16,0,2,1952
471,george_connor,0.0,17,0,2,1952
472,griffith,0.0,18,0,2,1952
473,parsons,0.0,19,0,2,1952
474,mcgrath,0.0,20,0,2,1952
475,rigsby,0.0,21,0,2,1952
476,james,0.0,22,0,2,1952
477,schindler,0.0,23,0,2,1952
478,fonder,0.0,24,0,2,1952
479,johnson,0.0,25,0,2,1952
480,stevenson,0.0,26,0,2,1952
481,banks,0.0,27,0,2,1952
482,ayulo,0.0,28,0,2,1952
483,mcdowell,0.0,29,0,2,1952
484,bira,0.0,30,0,2,1952
485,taruffi,9.0,1,1,3,1952
486,ascari,9.0,2,1,3,1952
487,ruttman,8.0,3,1,3,1952
488,farina,6.0,4,0,3,1952
489,fischer,6.0,5,0,3,1952
490,rathmann,6.0,6,0,3,1952
491,manzon,4.0,7,0,3,1952
492,behra,4.0,8,0,3,1952
493,hanks,4.0,9,0,3,1952
494,wharton,3.0,10,0,3,1952
495,darter,3.0,11,0,3,1952
496,hawthorn,3.0,12,0,3,1952
497,alan_brown,2.0,13,0,3,1952
498,cross,2.0,14,0,3,1952
499,frere,2.0,15,0,3,1952
500,vukovich,1.0,16,0,3,1952
501,bryan,0.0,17,0,3,1952
502,graffenried,0.0,18,0,3,1952
503,tornaco,0.0,19,0,3,1952
504,hirt,0.0,20,0,3,1952
505,reece,0.0,21,0,3,1952
506,brandon,0.0,22,0,3,1952
507,claes,0.0,23,0,3,1952
508,george_connor,0.0,24,0,3,1952
509,griffith,0.0,25,0,3,1952
510,bira,0.0,26,0,3,1952
511,parsons,0.0,27,0,3,1952
512,macklin,0.0,28,0,3,1952
513,mcgrath,0.0,29,0,3,1952
514,laurent,0.0,30,0,3,1952
